ABC-123;45;52;csekk
XYZ-987;120;138.75;utalás
QWE-456;42;51.2;-
JKL-222;78;91.6;készpénz
MNO-333;150;176;kártya
ABC-123;60;69.95;utalás
RST-444;88;104;-
UVW-555;210;244.8;kártya
XYZ-987;95;112.15;kártya
AAA-111;30;36;csekk
BBB-222;180;208.9;utalás
CCC-333;15;19;készpénz
DDD-444;300;351.75;készpénz
EEE-555;135;159;-
FFF-666;125;145.4;utalás
GGG-777;90;106.65;készpénz
HHH-888;40;49;kártya
III-999;240;281.95;utalás
JKL-222;65;77;utalás
MNO-333;20;25.6;készpénz
PQR-101;170;198;kártya
STU-202;57;68.4;-
VWX-303;55;66;csekk
YZA-404;260;304.25;utalás
BCD-505;110;128;készpénz
CDE-606;35;43.15;kártya
DEF-707;200;233;utalás
EFG-808;75;89.45;csekk
FGH-909;210;246;-
GHI-010;140;164.2;készpénz
HIJ-111;50;61;kártya
IJK-212;320;374.9;utalás
JKL-222;85;101;csekk
KLM-313;10;14;kártya
LMN-414;190;221.65;kártya
MNO-333;135;157;utalás
NOP-515;70;84.3;csekk
OPQ-616;74;89;-
PQR-717;225;263.5;készpénz
QRS-818;100;117;kártya
RST-919;25;32.6;utalás
STU-020;275;322;készpénz
TUV-121;130;152.1;készpénz
UVW-222;80;96;kártya
VWX-323;165;194.6;-
WXY-424;160;187;utalás
XYZ-987;145;169.9;csekk
YZA-525;115;134;készpénz
ZAB-626;65;79.25;kártya
ABC-123;250;293;csekk
BCD-727;40;50.55;csekk
CDE-828;185;216;készpénz
DEF-929;95;111.75;kártya
EFG-030;28;36;-
FGH-131;155;181.4;utalás
GHI-232;45;57;csekk
HIJ-333;205;239.95;készpénz
IJK-434;60;73;kártya
JKL-222;310;362.7;készpénz
KLM-535;20;27;csekk
LMN-636;175;204.55;készpénz
MNO-333;85;99;kártya
NOP-737;122;144.65;-
OPQ-838;230;268;utalás
PQR-939;125;146.8;csekk
QRS-040;55;67;készpénz
RST-141;265;309.75;kártya
STU-242;105;123;utalás
TUV-343;35;44.2;csekk
UVW-444;195;227;készpénz
VWX-545;90;108.35;kártya
WXY-646;96;114;-
XYZ-987;150;174.4;utalás
YZA-747;75;90;csekk
ZAB-848;215;251.8;csekk
ABC-123;50;63;kártya
BCD-949;285;333.6;kártya
CDE-050;120;141;csekk
DEF-151;65;80.3;készpénz
EFG-252;185;217;-
FGH-353;170;198.15;kártya
GHI-454;30;39;utalás
HIJ-555;245;286.5;készpénz
IJK-656;110;129;készpénz
JKL-222;95;113.2;kártya
KLM-757;200;234;utalás
LMN-858;40;52.1;csekk
MNO-333;140;163;készpénz
NOP-959;48;59;-
OPQ-060;260;304.9;utalás
PQR-161;80;97;utalás
QRS-262;15;21.4;csekk
RST-363;225;264;készpénz
STU-464;130;151.2;kártya
TUV-565;70;86;utalás
UVW-666;230;269.3;-
VWX-767;190;223;csekk
WXY-868;100;118.4;készpénz
XYZ-987;55;68;kártya
YZA-969;300;349.95;készpénz
ZAB-070;45;58.6;csekk
ABC-123;160;188;készpénz
BCD-171;85;102.3;kártya
CDE-272;210;247;utalás
DEF-373;25;34;csekk
EFG-474;66;81.75;-
FGH-575;145;171;készpénz
GHI-676;60;75.2;kártya
HIJ-777;275;321.6;csekk
IJK-878;115;136;csekk
JKL-222;180;211.75;készpénz
KLM-979;90;109;kártya
LMN-080;145;171.8;-
MNO-333;235;274;utalás
NOP-181;50;64.1;csekk
OPQ-282;125;147;készpénz
PQR-383;35;46.2;kártya
QRS-484;195;228.9;utalás
RST-585;105;124;csekk
STU-686;109;128.75;-
TUV-787;165;193;készpénz
UVW-888;75;91.25;kártya
VWX-989;250;292;kártya
